company,domain,job_title,location,posting_url,linkedin_managers,linkedin_role,date_scraped
Love’s Travel Stops,lovestravelstops.com,Associate Project Engineer- Electrical,"Houston, TX, US",https://www.indeed.com/viewjob?jk=b0bd857365e76d9e,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Loves%20Travel%20Stops%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Loves%20Travel%20Stops%22%20%22Associate%20Project%20Engineer-%20Electrical%22,2026-01-15
DNV KEMA Energy & Sustainability,dnvkemaenergysustainability.com,Renewable Energy Project Engineer,"Austin, TX, US",https://www.indeed.com/viewjob?jk=e0ce6f0a8ab201f1,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22DNV%20KEMA%20Energy%20%20Sustainability%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22DNV%20KEMA%20Energy%20%20Sustainability%22%20%22Renewable%20Energy%20Project%20Engineer%22,2026-01-15
Kimley-Horn,kimley-horn.com,Experienced Electrical EIT - MEP,"Fort Worth, TX, US",https://www.indeed.com/viewjob?jk=c8fa57a35dc0a2c4,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kimley-Horn%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kimley-Horn%22%20%22Experienced%20Electrical%20EIT%20-%20MEP%22,2026-01-15
Hays Electrical Services,hayselectricalservices.com,Senior Electrical BIM Specialist,"Houston, TX, US",https://www.indeed.com/viewjob?jk=85cb6b5d8b144a42,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Hays%20Electrical%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Hays%20Electrical%20Services%22%20%22Senior%20Electrical%20BIM%20Specialist%22,2026-01-15
Electric Power Systems,electricpowersystems.com,Senior Power Systems Electrical Engineer,"Anchorage, AK, US",https://www.indeed.com/viewjob?jk=213d61d035c2f84d,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electric%20Power%20Systems%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electric%20Power%20Systems%22%20%22Senior%20Power%20Systems%20Electrical%20Engineer%22,2026-01-15
"Revamp Engineering, Inc",revampengineering.com,Protection & Controls Engineer II - III,"Remote, US",https://www.indeed.com/viewjob?jk=c697311be69b468c,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Revamp%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Revamp%20Engineering%22%20%22Protection%20%20Controls%20Engineer%20II%20-%20III%22,2026-01-15
"Electrical Consultants, Inc.",electricalconsultants.com,CADD Drafter/Designer – Substation / Photovoltaic (PV)/ BESS / Wind,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=fc15144131fec931,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electrical%20Consultants%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electrical%20Consultants%22%20%22CADD%20DrafterDesigner%20%20Substation%20%20Photovoltaic%20PV%20BESS%20%20Wind%22,2026-01-15
Bowman,bowman.com,"Senior Design Engineer, PV Systems - Remote, US","Paonia, CO, US",https://www.indeed.com/viewjob?jk=29cbd594df6d2abf,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Bowman%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Bowman%22%20%22Senior%20Design%20Engineer%20PV%20Systems%20-%20Remote%20US%22,2026-01-15
Burns & McDonnell,burnsmcdonnell.com,"Staff Electrical Engineer - Networks, Integration, & Automation (Southfield)","Southfield, MI, US",https://www.indeed.com/viewjob?jk=20a98fd7d0d04c6d,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Burns%20%20McDonnell%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Burns%20%20McDonnell%22%20%22Staff%20Electrical%20Engineer%20-%20Networks%20Integration%20%20Automation%20Southfield%22,2026-01-15
Sargent & Lundy,sargentlundy.com,Electrical Wiring Designer 1 - Energy & Industrial,"Chicago, IL, US",https://www.indeed.com/viewjob?jk=e428f28d512f237e,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sargent%20%20Lundy%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sargent%20%20Lundy%22%20%22Electrical%20Wiring%20Designer%201%20-%20Energy%20%20Industrial%22,2026-01-15
Voltage,voltage.com,Design Manager (Solar Industry),"Remote, US",https://www.indeed.com/viewjob?jk=1327d7aa6e9fc744,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Voltage%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Voltage%22%20%22Design%20Manager%20Solar%20Industry%22,2026-01-15
Westwood Professional Services,westwoodprofessionalservices.com,Electrical Graduate Engineer,"Minnetonka, MN, US",https://www.indeed.com/viewjob?jk=15e84514a1dc661c,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Westwood%20Professional%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Westwood%20Professional%20Services%22%20%22Electrical%20Graduate%20Engineer%22,2026-01-15
SunEnergy1,sunenergy1.com,Senior Electrical Engineer,"Bethel, NC, US",https://www.indeed.com/viewjob?jk=dbda69fb9264b850,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22SunEnergy1%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22SunEnergy1%22%20%22Senior%20Electrical%20Engineer%22,2026-01-15
Zero Impact Solutions,zeroimpactsolutions.com,Electrical Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=7bec0f68f079a6b2,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Zero%20Impact%20Solutions%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Zero%20Impact%20Solutions%22%20%22Electrical%20Design%20Engineer%22,2026-01-15
"Johnson, Mirmiran & Thompson, Inc.",johnsonmirmiranthompson.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=cc883e29a108d7d2,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Johnson%20Mirmiran%20%20Thompson%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Johnson%20Mirmiran%20%20Thompson%22%20%22Electrical%20Engineer%20-%20Power%20%20Energy%22,2026-01-15
Clark Nexsen,clarknexsen.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=124e21fb596a5c06,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Clark%20Nexsen%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Clark%20Nexsen%22%20%22Electrical%20Engineer%20-%20Power%20%20Energy%22,2026-01-15
JMT Technology Group,jmttechnologygroup.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=d80482358bbe0c35,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22JMT%20Technology%20Group%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22JMT%20Technology%20Group%22%20%22Electrical%20Engineer%20-%20Power%20%20Energy%22,2026-01-15
E K Fox & Associates,ekfoxassociates.com,Lead Electrical Engineer (Specialized Design),"Chantilly, VA, US",https://www.indeed.com/viewjob?jk=c5aacd027b1e1efa,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22E%20K%20Fox%20%20Associates%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22E%20K%20Fox%20%20Associates%22%20%22Lead%20Electrical%20Engineer%20Specialized%20Design%22,2026-01-15
Atwell,atwell.com,Electrical Designer - Power & Energy,"Southfield, MI, US",https://www.indeed.com/viewjob?jk=f2590acc769938a5,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Atwell%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Atwell%22%20%22Electrical%20Designer%20-%20Power%20%20Energy%22,2026-01-15
"NEI Electric Power Engineering, Inc.",neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO, US",https://www.indeed.com/viewjob?jk=ad1134d318edc7e6,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22NEI%20Electric%20Power%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22NEI%20Electric%20Power%20Engineering%22%20%22Electrical%20Engineer%20Solar%20Engineering%22,2026-01-15
Primoris Services Corporation,primorisservicescorporation.com,PV Electrical Engineer,"Denver, CO, US",https://www.indeed.com/viewjob?jk=e204f62820702061,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Primoris%20Services%20Corporation%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Primoris%20Services%20Corporation%22%20%22PV%20Electrical%20Engineer%22,2026-01-15
"Lpa, Inc.",lpa.com,Electrical Project Manager,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=0b6340ca9b749f79,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Lpa%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Lpa%22%20%22Electrical%20Project%20Manager%22,2026-01-15
Siemens,siemens.com,Project Engineer - Systems,"Wendell, NC, US",https://www.indeed.com/viewjob?jk=c3d1ece4a707b9c3,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Siemens%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Siemens%22%20%22Project%20Engineer%20-%20Systems%22,2026-01-15
