company,domain,job_title,location,posting_url,date_scraped
"SALT Energy, LLC.",saltenergy.com,Solar Engineering Designer and Project Manager - Caribbean Island Solar Projects,"Marathon, FL",https://www.glassdoor.com/job-listing/j?jl=1009888506171,2026-01-12
Pure Energy Inc.,pureenergy.com,Residential Solar Project Designer,"San Antonio, TX",https://www.glassdoor.com/job-listing/j?jl=1009823539638,2026-01-12
Meta Power Solutions,metapowersolutions.com,CAD Drafter/Designer(Electrical),"Palm Beach Gardens, FL",https://www.glassdoor.com/job-listing/j?jl=1009349626562,2026-01-12
Arizona Public Service (APS),arizonapublicserviceaps.com,Designer II,"Casa Grande, AZ, US",https://www.indeed.com/viewjob?jk=4a7f4a091d76b008,2026-01-12
Westwood Professional Services,westwoodprofessionalservices.com,"Senior Designer, Civil Engineering","Frisco, TX, US",https://www.indeed.com/viewjob?jk=9eb177ab4fe1c0d3,2026-01-12
CMTA Consulting Engineers,cmtaconsultingengineers.com,Senior Solar Energy Engineer - Energy Solutions,"Fairfax, VA, US",https://www.indeed.com/viewjob?jk=aad1565e0197c158,2026-01-12
Hiring Group,hiringgroup.com,Electrical Engineer - PE,"Greenville, SC, US",https://www.indeed.com/viewjob?jk=9606245692e2e011,2026-01-12
Northrop Grumman,northropgrumman.com,Shop Floor Supervisor,"Goleta, CA, US",https://www.indeed.com/viewjob?jk=65cbf0c159506945,2026-01-12
Chroma Systems Solutions,chromasystemssolutions.com,Field Support Engineer,"Milpitas, CA, US",https://www.indeed.com/viewjob?jk=154d255d91037375,2026-01-12
Signal Energy Constructors,signalenergyconstructors.com,Electrical Designer,"Houston, TX, US",https://www.indeed.com/viewjob?jk=fb87aa313ceba313,2026-01-12
Kiewit Corporation,kiewitcorporation.com,Mid-Level Civil Designer - Kiewit Power Engineering,"Lenexa, KS, US",https://www.indeed.com/viewjob?jk=8bca140d9567dfec,2026-01-12
Primoris Services Corporation,primorisservicescorporation.com,Civil/Structural Engineering Manager,"Aurora, CO, US",https://www.indeed.com/viewjob?jk=e36acc0790b8a64c,2026-01-12
Mortenson Construction,mortensonconstruction.com,Engineer IV - Civil Structural,"MN, US",https://www.indeed.com/viewjob?jk=8d285c3cb622d008,2026-01-12
Zero Impact Solutions,zeroimpactsolutions.com,Electrical Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=7bec0f68f079a6b2,2026-01-12
"Electrical Consultants, Inc.",electricalconsultants.com,Photovoltaic (PV) and BESS Engineers,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=6da004d47abc6b31,2026-01-12
NextPower,nextpower.com,Senior Power Electronics Controls Engineer,"Fremont, CA, US",https://www.indeed.com/viewjob?jk=94bbadbebe74672c,2026-01-12
Pure Power Engineering Inc,purepowerengineering.com,Civil Engineer,"Boston, MA",https://www.glassdoor.com/job-listing/j?jl=1009995156991,2026-01-12
Treepublic,treepublic.com,Solar Funding & Documentation Specialist,"Hawthorne, CA",https://www.glassdoor.com/job-listing/j?jl=1009995362924,2026-01-12
Energy Materials Corporation,energymaterialscorporation.com,Development Engineer – Solar,"Rochester, NY",https://www.glassdoor.com/job-listing/j?jl=1009993351405,2026-01-12
"Green Water & Power, LLC",greenwaterpower.com,AutoCAD Drafter,"Van Nuys, CA",https://www.glassdoor.com/job-listing/j?jl=1009992865078,2026-01-12
"Moore Nanotechnology Systems, LLC",moorenanotechnologysystems.com,Manufacturing Engineer - Senior,"Swanzey, NH",https://www.glassdoor.com/job-listing/j?jl=1009991896885,2026-01-12
Walter P Moore,walterpmoore.com,Graduate Enclosure Consultant - Diagnostics,"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009987958576,2026-01-12
Spengler Industries,spenglerindustries.com,Sheet Metal Fabricator/Laser Cutter Operator,"Salt Lake City, UT",https://www.glassdoor.com/job-listing/j?jl=1009985488568,2026-01-12
Skydweller US,skydwellerus.com,Mechanical Engineer – Build Office,"Oklahoma City, OK",https://www.glassdoor.com/job-listing/j?jl=1009974614706,2026-01-12
Leidos,leidos.com,Space Environment Lighting Engineer,"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009970126612,2026-01-12
Colite Technologies,colitetechnologies.com,AutoCAD Drafter,"Columbia, SC",https://www.glassdoor.com/job-listing/j?jl=1009966696824,2026-01-12
GAF Materials Corporation,gafmaterialscorporation.com,"Mechanical Engineer 3, Solar Roof R&D","Georgetown, TX",https://www.glassdoor.com/job-listing/j?jl=1009966947920,2026-01-12
Overview Energy,overviewenergy.com,Spacecraft Solar Array Engineer,"Ashburn, VA",https://www.glassdoor.com/job-listing/j?jl=1009964016419,2026-01-12
Action Solar,actionsolar.com,Photovoltaic Quality Control Specialist,"Lehi, UT",https://www.glassdoor.com/job-listing/j?jl=1009950587253,2026-01-12
Association of Universities for Research in Astronomy,associationofuniversitiesforresearchinastronomy.com,Mechanical Technician II,"Maui Meadows, HI",https://www.glassdoor.com/job-listing/j?jl=1009942188097,2026-01-12
Solar Technologies,solartechnologies.com,Commercial Solar Electrician,"San Jose, CA",https://www.glassdoor.com/job-listing/j?jl=1009941970105,2026-01-12
NanoXSolar,nanoxsolar.com,Solar EPC Utility Scale Project Manager,"Denver, CO",https://www.glassdoor.com/job-listing/j?jl=1009940125197,2026-01-12
Stellavise Inc.,stellavise.com,Electrical Engineer - Solar,,https://www.glassdoor.com/job-listing/j?jl=1009936426421,2026-01-12
Willdan,willdan.com,Solar Engineer,"Oak Brook, IL",https://www.glassdoor.com/job-listing/j?jl=1009923018018,2026-01-12
Quanex,quanex.com,Manufacturing Engineer,"Chatsworth, IL",https://www.glassdoor.com/job-listing/j?jl=1009913101001,2026-01-12
"Phillips, Inc.",phillips.com,Project Engineer (Solar),"Knoxville, TN",https://www.glassdoor.com/job-listing/j?jl=1009911433708,2026-01-12
AllSeason Solar & Roofing,allseasonsolarroofing.com,Entry Level Solar Proposal Design / Estimator - In Office Position,"Millville, NJ",https://www.glassdoor.com/job-listing/j?jl=1009884954215,2026-01-12
Solar Cellz USA,solarcellzusa.com,Solar Design Engineer,"Charlotte, NC",https://www.glassdoor.com/job-listing/j?jl=1009636959929,2026-01-12
Vector Structural Engineering,vectorstructuralengineering.com,Structural Engineer,"Arlington, TX",https://www.glassdoor.com/job-listing/j?jl=1009805066732,2026-01-12
Fusion Industries LLC,fusionindustries.com,Senior Electrical Engineer,"Edmond, OK",https://www.glassdoor.com/job-listing/j?jl=1009798097689,2026-01-12
Motive Energy Storage Solutions,motiveenergystoragesolutions.com,Solar Engineer,"Victorville, CA",https://www.glassdoor.com/job-listing/j?jl=1009792743280,2026-01-12
LPL Solar,lplsolar.com,EPC Solar - Project Engineer,"Fort Lauderdale, FL",https://www.glassdoor.com/job-listing/j?jl=1009788945453,2026-01-12
BaRupOn LLC,barupon.com,Solar PV Design Engineer,"Liberty, TX",https://www.glassdoor.com/job-listing/j?jl=1009778271679,2026-01-12
Sundog Solar,sundogsolar.com,SOLAR DESIGN ENGINEER,"Searsport, ME",https://www.glassdoor.com/job-listing/j?jl=1009188327415,2026-01-12
Cromwell Environmental,cromwellenvironmental.com,SOLAR INSTALLER,"Lawrence, KS",https://www.glassdoor.com/job-listing/j?jl=1008796129049,2026-01-12
Gordian Energy Systems,gordianenergysystems.com,Commercial Project Engineer - Solar - Md,"Baltimore, MD",https://www.glassdoor.com/job-listing/j?jl=1009217730539,2026-01-12
Pearce Services,pearceservices.com,Outside Plant Roadmoves Engineer,"Lafayette, LA, US",https://www.indeed.com/viewjob?jk=4895888165df78b9,2026-01-12
Redwire Space,redwirespace.com,Staff Project Engineer,"Goleta, CA, US",https://www.indeed.com/viewjob?jk=30f7c24831a52275,2026-01-12
Heliene USA,helieneusa.com,Manufacturing Engineering Manager,"Rogers, MN, US",https://www.indeed.com/viewjob?jk=5f9894ded7278466,2026-01-12
Danfoss,danfoss.com,Advanced Manufacturing Engineering Intern,"Tallahassee, FL, US",https://www.indeed.com/viewjob?jk=1f809804137964b1,2026-01-12
Relativity Space,relativityspace.com,Senior Avionics Mechanical Engineer,"Long Beach, CA, US",https://www.indeed.com/viewjob?jk=643f7a15cdb8141d,2026-01-12
OPmobility,opmobility.com,HARWARE ELECTRICAL DESIGNER,,https://www.glassdoor.com/job-listing/j?jl=1009980058504,2026-01-12
"Sunrun Installation Services, Inc.",sunruninstallationservices.com,Multifamily PV Designer,"San Luis Obispo, CA",https://www.glassdoor.com/job-listing/j?jl=1009973079281,2026-01-12
nLIGHT,nlight.com,Opto-Mechanical Engineering Analyst,"Longmont, CO",https://www.glassdoor.com/job-listing/j?jl=1009966644731,2026-01-12
Stellantis,stellantis.com,Design Release Engineer - Spark Plug & Ignition Coil,"Auburn Hills, MI",https://www.glassdoor.com/job-listing/j?jl=1009944740332,2026-01-12
HDR,hdr.com,Electrical Engineer - Power Generation,"San Antonio, TX",https://www.glassdoor.com/job-listing/j?jl=1009902165002,2026-01-12
Hanwha Q Cells,hanwhaqcells.com,CAD Automation Engineer - Level 2,"Irvine, CA",https://www.glassdoor.com/job-listing/j?jl=1009866659004,2026-01-12
AECOM,aecom.com,Protection and Controls Engineer (P.E.),"New York, NY",https://www.glassdoor.com/job-listing/j?jl=1009835106664,2026-01-12
Mariana Minerals,marianaminerals.com,"Staff/Senior Engineer – Piping, Pipe Stress & Vessel","Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009813932849,2026-01-12
Celestial AI,celestialai.com,Senior CAD Engineer,"Santa Clara, CA",https://www.glassdoor.com/job-listing/j?jl=1009794298436,2026-01-12
"Arora and Associates, P.C",aroraandassociatespc.com,Senior Civil Engineer (PV) - (IL-2022-2),"Springfield, IL",https://www.glassdoor.com/job-listing/j?jl=1007810662425,2026-01-12
ARCHKEY SOLUTIONS,archkeysolutions.com,Senior Designer,"San Jose, CA, US",https://www.indeed.com/viewjob?jk=7bdbb50b1326cae0,2026-01-12
RRC SCADA SOLUTIONS,rrcscadasolutions.com,Senior Scada Project Manager,"Westminster, CO, US",https://www.indeed.com/viewjob?jk=d6f9590182ca1d28,2026-01-12
Sustineo Construction,sustineoconstruction.com,Senior Solar Design Engineer PE,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=17ada070cd3c0106,2026-01-12
E K Fox & Associates,ekfoxassociates.com,Lead Electrical Engineer (Specialized Design),"Chantilly, VA, US",https://www.indeed.com/viewjob?jk=c5aacd027b1e1efa,2026-01-12
Sunrun,sunrun.com,Multifamily PV Designer,"San Luis Obispo, CA, US",https://www.indeed.com/viewjob?jk=0f7c8c6d71bfa8cc,2026-01-12
Eaton,eaton.com,Lead Power Distribution Controls Engineer,US,https://www.indeed.com/viewjob?jk=0a21c0a93e7fcb02,2026-01-12
Tusk Solar Design LLC,tusksolardesign.com,Account Executive - Solar Drafting Services,"Tampa, FL",https://www.glassdoor.com/job-listing/j?jl=1009972989037,2026-01-12
GridPower Solutions,gridpowersolutions.com,DC Systems Design Specialist - EBOS,"Irving, TX",https://www.glassdoor.com/job-listing/j?jl=1009971606084,2026-01-12
RRC POWER AND ENERGY,rrcpowerandenergy.com,Senior CAD Designer,"Round Rock, TX",https://www.glassdoor.com/job-listing/j?jl=1009965733152,2026-01-12
Kurt J Lesker Company,kurtjleskercompany.com,Mechanical Designer,"Jefferson Hills, PA",https://www.glassdoor.com/job-listing/j?jl=1009964144943,2026-01-12
DPS Group,dpsgroup.com,BIM Technician,"Cary, NC",https://www.glassdoor.com/job-listing/j?jl=1009943997123,2026-01-12
Trystar Inc,trystar.com,Design Drafter - Sustaining Engineering,,https://www.glassdoor.com/job-listing/j?jl=1009942080821,2026-01-12
"TRC Companies, Inc.",trccompanies.com,Civil Designer III,"Portland, ME",https://www.glassdoor.com/job-listing/j?jl=1009935342638,2026-01-12
MasTec Inc,mastec.com,BIM MANAGER,"Lubbock, TX",https://www.glassdoor.com/job-listing/j?jl=1009928276266,2026-01-12
Astranis,astranis.com,PCB Layout Engineer,"San Francisco, CA",https://www.glassdoor.com/job-listing/j?jl=1009878211071,2026-01-12
PGAL,pgal.com,BIM Manager,"Los Angeles, CA",https://www.glassdoor.com/job-listing/j?jl=1009869621228,2026-01-12
X-ELIO,x-elio.com,Jr Project Engineer,"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009774868438,2026-01-12
Qcells,qcells.com,Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=b50dbfb3c63e487f,2026-01-12
Xcel Energy,xcelenergy.com,Major Project Civil Engineer (Staff or Senior),"Denver, CO, US",https://www.indeed.com/viewjob?jk=f0d7e5f494989bb0,2026-01-12
Kleinfelder,kleinfelder.com,Staff Electrical Engineer-In-Training (EIT),"Denver, CO, US",https://www.indeed.com/viewjob?jk=948f113980dbf0c8,2026-01-12
SOLV Energy,solvenergy.com,Legal Intern,"Edison, NJ, US",https://www.indeed.com/viewjob?jk=978416248d6b09b7,2026-01-12
LND Technical Services LLC,lndtechnicalservices.com,Senior Protection and Control Engineer (P&C) Field Engineer,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=754a1ee8e22ace63,2026-01-12
QMS,qms.com,Protection & Controls Engineer,"TX, US",https://www.indeed.com/viewjob?jk=3d157fd248ac6bf3,2026-01-12
Parsons,parsons.com,Engineering Manager,"Pasadena, CA, US",https://www.indeed.com/viewjob?jk=9fe61eac1538373c,2026-01-12
RRC Power and Energy,rrcpowerandenergy.com,Substation Project Engineer,"Round Rock, TX, US",https://www.indeed.com/viewjob?jk=73a7f9a90ad3d9e8,2026-01-12
NV5,nv5.com,Senior PLS-CADD Drafter,"Portland, OR, US",https://www.indeed.com/viewjob?jk=865d44ee18845541,2026-01-12
WSP,wsp.com,Structural Engineer,"Houston, TX, US",https://www.indeed.com/viewjob?jk=3904ada70c318024,2026-01-12
Atwell,atwell.com,System Studies Engineer - Interconnection - Power & Energy,"Southfield, MI, US",https://www.indeed.com/viewjob?jk=df48b882f4fbe420,2026-01-12
DPS Group Global,dpsgroupglobal.com,Electrical Designer II,"Cary, NC, US",https://www.indeed.com/viewjob?jk=0d9c016812ac79f2,2026-01-12
"Solar Innovations, Inc.",solarinnovations.com,"Supervisor, Estimator","Pine Grove, PA, US",https://www.indeed.com/viewjob?jk=562cfefce11c6861,2026-01-12
Array Technologies,arraytechnologies.com,Principal Mechanical Engineer,"Chandler, AZ, US",https://www.indeed.com/viewjob?jk=6d9703fced28b5e8,2026-01-12
Trystar,trystar.com,Design Drafter - Sustaining Engineering,"Troy, MI, US",https://www.indeed.com/viewjob?jk=8a1b460489701fac,2026-01-12
"NEI Electric Power Engineering, Inc.",neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO, US",https://www.indeed.com/viewjob?jk=ad1134d318edc7e6,2026-01-12
RLC Engineering,rlcengineering.com,Associate Civil Engineer (Structural),"South Portland, ME, US",https://www.indeed.com/viewjob?jk=41d82eedcf29992b,2026-01-12
"Wanco, Inc",wanco.com,Sr. Mechanical Engineer,"Arvada, CO, US",https://www.indeed.com/viewjob?jk=cf11bef69ad9e3e6,2026-01-12
Colorado School of Mines,coloradoschoolofmines.com,"Post-Doctoral Fellow, Physics at Mines and The National Laboratory of the Rockies",,https://www.glassdoor.com/job-listing/j?jl=1009991901951,2026-01-12
POWER ELECTRONICS,powerelectronics.com,Industrial Electrician,"Blytheville, AR",https://www.glassdoor.com/job-listing/j?jl=1009990268494,2026-01-12
Zing Recruiting,zingrecruiting.com,Electrical Engineer | Engineer IV,"Fairfax, VA",https://www.glassdoor.com/job-listing/j?jl=1009988195799,2026-01-12
Penn Technical Staffing,penntechnicalstaffing.com,Sr. Fire Protection Engineer,"Neptune City, NJ",https://www.glassdoor.com/job-listing/j?jl=1009984903702,2026-01-12
Motive Companies,motivecompanies.com,Principal Electrical Engineer,"Tustin, CA",https://www.glassdoor.com/job-listing/j?jl=1009984903359,2026-01-12
Trinity Solar,trinitysolar.com,Solar Installers,"Pittsburgh, PA",https://www.glassdoor.com/job-listing/j?jl=1009977903624,2026-01-12
Revamp Engineering,revampengineering.com,Structural Design Engineer III (PV Racking Systems),,https://www.glassdoor.com/job-listing/j?jl=1009975447750,2026-01-12
Power Electronics,powerelectronics.com,Electrical Industrial Field Service Technician (High Voltage),"College Station, TX",https://www.glassdoor.com/job-listing/j?jl=1009972870601,2026-01-12
Voltage,voltage.com,Project Engineer,,https://www.glassdoor.com/job-listing/j?jl=1009967901792,2026-01-12
"Ferrovial Webber Energy, LLC",ferrovialwebberenergy.com,Ferrovial Webber Energy - Mechanical Supervisor,"Milano, TX",https://www.glassdoor.com/job-listing/j?jl=1009966610587,2026-01-12
Stantec,stantec.com,Construction Quality Field Representative,"Lexington, KY",https://www.glassdoor.com/job-listing/j?jl=1009957265482,2026-01-12
Concorde Battery Corp - California,concordebatterycorp-california.com,Mechanical Engineer,"West Covina, CA",https://www.glassdoor.com/job-listing/j?jl=1009950575949,2026-01-12
Stäubli,stäubli.com,Product Design Engineer,"Windsor, CA",https://www.glassdoor.com/job-listing/j?jl=1009946946107,2026-01-12
Swift Solar,swiftsolar.com,Mechanical Design and Test Engineer,"San Carlos, CA",https://www.glassdoor.com/job-listing/j?jl=1009929247484,2026-01-12
Greentech Renewables Central Division,greentechrenewablescentraldivision.com,Commercial Solar Design Project Lead,"Irving, TX",https://www.glassdoor.com/job-listing/j?jl=1009919816215,2026-01-12
First Solar,firstsolar.com,Development Engineer II - Perovskite Device Physics,"Perrysburg, OH",https://www.glassdoor.com/job-listing/j?jl=1009904616318,2026-01-12
"CIM Group, LP",cimgrouplp.com,Development Project Manager (Technical) - Utility Scale Solar & BESS,"Los Angeles, CA",https://www.glassdoor.com/job-listing/j?jl=1009899099220,2026-01-12
Leonardo DRS,leonardodrs.com,Scientist II,"Dallas, TX",https://www.glassdoor.com/job-listing/j?jl=1009884712841,2026-01-12
MUAQUA ENGINEERING INC,muaquaengineering.com,Water treatment system equipment and pipeline design engineer,"Phoenix, AZ",https://www.glassdoor.com/job-listing/j?jl=1009883664205,2026-01-12
Adapture Renewables,adapturerenewables.com,Pre-Construction Coordinator,"Oakland, CA",https://www.glassdoor.com/job-listing/j?jl=1009655959620,2026-01-12
Blue Origin,blueorigin.com,Photovoltaic Material and Process Development Engineer II,"Seattle, WA",https://www.glassdoor.com/job-listing/j?jl=1009871202175,2026-01-12
Sungrow USA Corporation,sungrowusacorporation.com,Warehouse Manager,"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009871231057,2026-01-12
Corning,corning.com,Senior Multi-Discipline Scientist,"Corning, NY",https://www.glassdoor.com/job-listing/j?jl=1009843450864,2026-01-12
Sandbox Solar,sandboxsolar.com,Solar Installer,"Fort Collins, CO",https://www.glassdoor.com/job-listing/j?jl=1009818049483,2026-01-12
Homeland Solar,homelandsolar.com,Solar Photovoltaic Installer,"Ann Arbor, MI",https://www.glassdoor.com/job-listing/j?jl=1009809735712,2026-01-12
Carrier,carrier.com,Decarbonization & Modeling Engineer (NORESCO),"Westminster, CO",https://www.glassdoor.com/job-listing/j?jl=1009783173718,2026-01-12
Essel,essel.com,Solar Installer,"Rancho Cucamonga, CA",https://www.glassdoor.com/job-listing/j?jl=1009733605383,2026-01-12
Physical Sciences Inc.,physicalsciences.com,Optical Physicist-Nanophotonics,"Andover, MA",https://www.glassdoor.com/job-listing/j?jl=1008869214994,2026-01-12
Alencon Systems,alenconsystems.com,Digital Electronic Design Engineer,"Hatboro, PA",https://www.glassdoor.com/job-listing/j?jl=1005557776201,2026-01-12
Artisan Consulting,artisanconsulting.com,Photovoltaic Engineer,"Troy, MI",https://www.glassdoor.com/job-listing/j?jl=1006919162474,2026-01-12
"Clenera, LLC",clenera.com,Commissioning Manager,"Boise, ID, US",https://www.indeed.com/viewjob?jk=f181af000f4d4fe5,2026-01-12
Advanced Roofing,advancedroofing.com,Solar Production Installer,"Fort Lauderdale, FL, US",https://www.indeed.com/viewjob?jk=4b87ed705f2a6e81,2026-01-12
AES Corporation,aescorporation.com,Senior Structural Engineer,"Louisville, CO, US",https://www.indeed.com/viewjob?jk=91b60e7ddc0f4b8a,2026-01-12
Arch Solar C&I,archsolarci.com,Electrician (Commercial),"WI, US",https://www.indeed.com/viewjob?jk=cab3a80d87c148f2,2026-01-12
"City of San Clemente, CA",cityofsanclementeca.com,Plans Examiner II / Senior Plans Examiner,"San Clemente, CA, US",https://www.indeed.com/viewjob?jk=5efa4fcc0e43ec42,2026-01-12
Freedom Forever,freedomforever.com,Solar Install Supervisor,"West Sacramento, CA, US",https://www.indeed.com/viewjob?jk=13573098f888434b,2026-01-12
Greentech Renewables NorCal,greentechrenewablesnorcal.com,Commercial Solar Management Trainee,"Pennsauken, NJ, US",https://www.indeed.com/viewjob?jk=5c28f55f9dc19d24,2026-01-12
Legence,legence.com,Mechanical Engineer Intern/Co-op Summer 2026 - Energy Solutions,"Baltimore, MD, US",https://www.indeed.com/viewjob?jk=5f953e35ff2351b2,2026-01-12
t1 energy,t1energy.com,"Wet Process Engineer, Solar Cell Manufacturing","Austin, TX, US",https://www.indeed.com/viewjob?jk=5d2a25e2a9c9948a,2026-01-12
Cypress Creek Renewables,cypresscreekrenewables.com,Field Service Technician,"Remote, US",https://www.indeed.com/viewjob?jk=5523736edb9e61a6,2026-01-12
The Aerospace Corporation,theaerospacecorporation.com,2026 Space Photovoltaics Graduate Intern,"El Segundo, CA, US",https://www.indeed.com/viewjob?jk=2f8fa6e60db44f4b,2026-01-12
Siemens,siemens.com,Project Engineer - AIS,"Wendell, NC, US",https://www.indeed.com/viewjob?jk=99ce2f3105decf1a,2026-01-12
City of Las Vegas,cityoflasvegas.com,Building Services Electrician,"Las Vegas, NV, US",https://www.indeed.com/viewjob?jk=54bc467fc54a4e2d,2026-01-12
Amazon.com,amazoncom.com,"Solar Construction Manager, North America Construction Portfolios","Bellevue, WA, US",https://www.indeed.com/viewjob?jk=baf13953420d91fb,2026-01-12
CALSTATE ENERGY INC,calstateenergy.com,Solar Installer / Electrician,"Commerce, CA",https://www.glassdoor.com/job-listing/j?jl=1009992025008,2026-01-12
Auxin Solar,auxinsolar.com,Equipment operator and mechanical,"San Jose, CA",https://www.glassdoor.com/job-listing/j?jl=1009986032282,2026-01-12
Jones Power,jonespower.com,General Laborer Midstream,United States,https://www.glassdoor.com/job-listing/j?jl=1009943535067,2026-01-12
Grupo EOSOL,grupoeosol.com,Inspector Electrico.,,https://www.glassdoor.com/job-listing/j?jl=1009943115015,2026-01-12
Photon Brothers Inc,photonbrothers.com,Installer II (Seasonal / Temporary),"San Luis Obispo, CA",https://www.glassdoor.com/job-listing/j?jl=1009894536977,2026-01-12
McKinstry,mckinstry.com,Electrical Project Engineer II,"Dallas, TX",https://www.glassdoor.com/job-listing/j?jl=1009888689248,2026-01-12
Goodco Solar,goodcosolar.com,Solar Installer – Residential Removal & Reinstall Crew,"Hartford, CT",https://www.glassdoor.com/job-listing/j?jl=1009867355724,2026-01-12
Knobelsdorff Enterprises,knobelsdorffenterprises.com,PV Design Engineer,"Goodhue, MN",https://www.glassdoor.com/job-listing/j?jl=1009846849314,2026-01-12
Tri-State Generation and Transmission Association Inc.,tri-stategenerationandtransmissionassociation.com,Utility Equipment Fleet Mechanic,"Cheyenne, WY",https://www.glassdoor.com/job-listing/j?jl=1009803976257,2026-01-12
Calstate Energy Inc,calstateenergy.com,Solar Installer / Electrician,"Commerce, CA, US",https://www.indeed.com/viewjob?jk=17bcc3b83dc730c9,2026-01-12
Sunrise Power Solutions,sunrisepowersolutions.com,Solar QA/QC Project Manager,"Hauppauge, NY, US",https://www.indeed.com/viewjob?jk=1da68dc5f5a246e8,2026-01-12
Jones power,jonespower.com,General Laborer Midstream,"TX, US",https://www.indeed.com/viewjob?jk=ce4fdb434235d457,2026-01-12
GRUPO EOSOL,grupoeosol.com,Inspector Electrico.,"OR, US",https://www.indeed.com/viewjob?jk=741d5fae54e3176e,2026-01-12
