company,domain,job_title,location,posting_url,date_scraped
Sargent & Lundy,sargentlundy.com,Electrical Physical Designer 1 -- Energy & Industrial Group,"Englewood, CO",https://www.glassdoor.com/job-listing/j?jl=1009995365432,2026-01-12
APS,aps.com,Designer II,"Casa Grande, AZ",https://www.glassdoor.com/job-listing/j?jl=1009995335965,2026-01-12
Henderson Engineers,hendersonengineers.com,Data Center - Electrical Designers and Engineers (All Skill Levels),"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009992264698,2026-01-12
Signal Energy LLC,signalenergy.com,Electrical Designer,"Houston, TX",https://www.glassdoor.com/job-listing/j?jl=1009992222972,2026-01-12
Bechtel,bechtel.com,Electrical Designer,"Reston, VA",https://www.glassdoor.com/job-listing/j?jl=1009990567398,2026-01-12
Tectonic MSA LLC,tectonicmsa.com,Engineering Technician,"Brandon, FL",https://www.glassdoor.com/job-listing/j?jl=1009989320406,2026-01-12
"ExoTerra Resource, LLC",exoterraresource.com,Manufacturing Engineer,"Littleton, CO",https://www.glassdoor.com/job-listing/j?jl=1009987533740,2026-01-12
ARF Solar,arfsolar.com,Solar Proposal Designer,"Saint Louis, MO",https://www.glassdoor.com/job-listing/j?jl=1009987423574,2026-01-12
Vallum Associates,vallumassociates.com,Solar Designer,"Stamford, CT",https://www.glassdoor.com/job-listing/j?jl=1009985363695,2026-01-12
Burns & McDonnell,burnsmcdonnell.com,Electrical Designer - Power (Chicago),"Chicago, IL",https://www.glassdoor.com/job-listing/j?jl=1009983696473,2026-01-12
"Westwood Professional Services, Inc.",westwoodprofessionalservices.com,Electrical Design Technician,"Englewood, CO",https://www.glassdoor.com/job-listing/j?jl=1009983535499,2026-01-12
"Polypack, Inc.",polypack.com,CAD Designer,"Pinellas Park, FL",https://www.glassdoor.com/job-listing/j?jl=1009975464489,2026-01-12
Augment Professional Services,augmentprofessionalservices.com,Assistant Solar Farm Civil Designer,"Mesa, AZ",https://www.glassdoor.com/job-listing/j?jl=1009973126358,2026-01-12
Colliers Engineering & Design,colliersengineeringdesign.com,Civil/Site E.I.T. - Early Career,,https://www.glassdoor.com/job-listing/j?jl=1009972604959,2026-01-12
SunPower,sunpower.com,PV Designer,"Orem, UT",https://www.glassdoor.com/job-listing/j?jl=1009970055889,2026-01-12
MYNT SYSTEMS INC,myntsystems.com,Distributed Energy Systems Designer,"Santa Cruz, CA",https://www.glassdoor.com/job-listing/j?jl=1009730145347,2026-01-12
ANS,ans.com,Civil Designer I,"Raleigh, NC",https://www.glassdoor.com/job-listing/j?jl=1009967029463,2026-01-12
RCS Corporation,rcscorporation.com,Engineer 3: Protection & Controls,"Atlanta, GA",https://www.glassdoor.com/job-listing/j?jl=1009962840550,2026-01-12
Tesla,tesla.com,"Staff Manufacturing Engineer, Energy Products","Fremont, CA",https://www.glassdoor.com/job-listing/j?jl=1009962863946,2026-01-12
Holtec,holtec.com,SmartPlant 3D Piping Designer,"Camden, NJ",https://www.glassdoor.com/job-listing/j?jl=1009957151801,2026-01-12
"Atwell, LLC",atwell.com,Electrical Designer - Power & Energy,"Southfield, MI",https://www.glassdoor.com/job-listing/j?jl=1009949733644,2026-01-12
Shoals Technologies,shoalstechnologies.com,CAD Designer,"Portland, TN",https://www.glassdoor.com/job-listing/j?jl=1009940335685,2026-01-12
Pattern Energy Group LP,patternenergygrouplp.com,Senior Design Engineer - Solect Energy,"Hopkinton, MA",https://www.glassdoor.com/job-listing/j?jl=1009935900927,2026-01-12
CannonDesign,cannondesign.com,Plumbing/Fire Protection - Entry Level,"Boston, MA",https://www.glassdoor.com/job-listing/j?jl=1009930839784,2026-01-12
Exact Solar,exactsolar.com,Solar Designer,"Newtown, PA",https://www.glassdoor.com/job-listing/j?jl=1009908280027,2026-01-12
SpaceX,spacex.com,PCB Designer (Starshield),"Hawthorne, CA",https://www.glassdoor.com/job-listing/j?jl=1009890691097,2026-01-12
