company,domain,job_title,location,posting_url,date_scraped
BUILD renewables,buildrenewables.com,Estimator - Civil Focus,"Mendota Heights, MN, US",https://www.indeed.com/viewjob?jk=03a8e10793d4d007,2026-01-12
Sidus Space,sidusspace.com,Senior Electrical Engineer,"Cape Canaveral, FL, US",https://www.indeed.com/viewjob?jk=ddd0c49a19cb75e1,2026-01-12
Mortenson Construction,mortensonconstruction.com,Solar Design Engineer I and II - Civil and Structural,"MN, US",https://www.indeed.com/viewjob?jk=ae7a78a08df8f94e,2026-01-12
Bowman,bowman.com,"Senior Design Engineer, PV Systems - Remote, US","Paonia, CO, US",https://www.indeed.com/viewjob?jk=29cbd594df6d2abf,2026-01-12
Tesla,tesla.com,"Sr. Chemical Process Engineer, Facilities","Sparks, NV, US",https://www.indeed.com/viewjob?jk=c51df0f6f3e8f768,2026-01-12
Kiewit Corporation,kiewitcorporation.com,Mid-Level Civil Designer - Kiewit Power Engineering,"Lenexa, KS, US",https://www.indeed.com/viewjob?jk=8bca140d9567dfec,2026-01-12
RWE,rwe.com,"Intern, Engineering","Austin, TX, US",https://www.indeed.com/viewjob?jk=6f7f19a0aec92549,2026-01-12
SOLV Energy,solvenergy.com,CAD Engineer Intern,"Edison, NJ, US",https://www.indeed.com/viewjob?jk=6efaf179e35473a5,2026-01-12
SWCA Environmental Consultants,swcaenvironmentalconsultants.com,Staff Civil Engineer,"Bridgeville, PA, US",https://www.indeed.com/viewjob?jk=fc3be8dc11d4b6f4,2026-01-12
Kleinfelder,kleinfelder.com,Civil Engineer (E.I.T),"Hanover, MD, US",https://www.indeed.com/viewjob?jk=c48a851450fd9d81,2026-01-12
NEVADOS,nevados.com,Structural Engineer (Foundations) - Solar Industry,"Oakland, CA, US",https://www.indeed.com/viewjob?jk=c29c061ed5c2cbec,2026-01-12
Sunrise Power Solutions,sunrisepowersolutions.com,Solar QA/QC Project Manager,"Hauppauge, NY, US",https://www.indeed.com/viewjob?jk=1da68dc5f5a246e8,2026-01-12
City of St. George,cityofstgeorge.com,"Engineer I, II, III, IV","Saint George, UT, US",https://www.indeed.com/viewjob?jk=cc0508f310f451f7,2026-01-12
UNS Energy Corporation,unsenergycorporation.com,Operations Instrumentation & Electrical Technician,"Kingman, AZ, US",https://www.indeed.com/viewjob?jk=d4cac133d2bd0da9,2026-01-12
Henpen Corporation,henpencorporation.com,Electrical Engineer - Central Systems Design,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=7ddf61a9b4324331,2026-01-12
LIBERTY,liberty.com,Electric Utility Standards Engineer,"Lebanon, NH, US",https://www.indeed.com/viewjob?jk=08940a7a9294248f,2026-01-12
Motive Companies,motivecompanies.com,Structural Design Engineer,"Tustin, CA, US",https://www.indeed.com/viewjob?jk=d1cc83a1e921c97f,2026-01-12
"Revamp Engineering, Inc",revampengineering.com,Protection & Controls Engineer II - III,"Remote, US",https://www.indeed.com/viewjob?jk=c697311be69b468c,2026-01-12
NextPower,nextpower.com,Manufacturing Engineer – eBOS Components,"Fremont, CA, US",https://www.indeed.com/viewjob?jk=b6713b5ecd097d8c,2026-01-12
Amazon.com,amazoncom.com,"Solar Construction Manager, North America Construction Portfolios","Bellevue, WA, US",https://www.indeed.com/viewjob?jk=baf13953420d91fb,2026-01-12
"Electrical Consultants, Inc.",electricalconsultants.com,CADD Drafter/Designer – Substation / Photovoltaic (PV)/ BESS / Wind,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=fc15144131fec931,2026-01-12
BNH,bnh.com,Early Career Mechanical Integrity Engineer,"Arnold AFB, TN, US",https://www.indeed.com/viewjob?jk=5c240b45944ef504,2026-01-12
American Energy Care,americanenergycare.com,Energy Engineer - Junior,"Albany, NY, US",https://www.indeed.com/viewjob?jk=1e6243e50cb7e20b,2026-01-12
