company,domain,job_title,location,posting_url,linkedin_search,date_scraped
Sargent & Lundy,sargentlundy.com,Electrical Wiring Designer 1 - Energy & Industrial,"Chicago, IL, US",https://www.indeed.com/viewjob?jk=e428f28d512f237e,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sargent%20%20Lundy%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Henpen Corporation,henpencorporation.com,Electrical Engineer - Central Systems Design,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=7ddf61a9b4324331,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Henpen%20Corporation%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Revamp Engineering, Inc",revampengineering.com,Protection & Controls Engineer II - III,"Remote, US",https://www.indeed.com/viewjob?jk=c697311be69b468c,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Revamp%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Electrical Consultants, Inc.",electricalconsultants.com,CADD Drafter/Designer – Substation / Photovoltaic (PV)/ BESS / Wind,"Tigard, OR, US",https://www.indeed.com/viewjob?jk=fc15144131fec931,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Electrical%20Consultants%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Westwood Professional Services,westwoodprofessionalservices.com,Electrical Graduate Engineer,"Minnetonka, MN, US",https://www.indeed.com/viewjob?jk=15e84514a1dc661c,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Westwood%20Professional%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
SunEnergy1,sunenergy1.com,Senior Electrical Engineer,"Bethel, NC, US",https://www.indeed.com/viewjob?jk=dbda69fb9264b850,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22SunEnergy1%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Sustineo Construction,sustineoconstruction.com,Senior Solar Design Engineer PE,"San Diego, CA, US",https://www.indeed.com/viewjob?jk=17ada070cd3c0106,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Sustineo%20Construction%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
E K Fox & Associates,ekfoxassociates.com,Lead Electrical Engineer (Specialized Design),"Chantilly, VA, US",https://www.indeed.com/viewjob?jk=c5aacd027b1e1efa,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22E%20K%20Fox%20%20Associates%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
PV Pros,pvpros.com,Civil Engineer,"Boston, MA, US",https://www.indeed.com/viewjob?jk=43d963a266365074,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22PV%20Pros%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Zero Impact Solutions,zeroimpactsolutions.com,Electrical Design Engineer,"Irvine, CA, US",https://www.indeed.com/viewjob?jk=7bec0f68f079a6b2,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Zero%20Impact%20Solutions%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Johnson, Mirmiran & Thompson, Inc.",johnsonmirmiranthompson.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=cc883e29a108d7d2,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Johnson%20Mirmiran%20%20Thompson%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Clark Nexsen,clarknexsen.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=124e21fb596a5c06,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Clark%20Nexsen%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
JMT Technology Group,jmttechnologygroup.com,Electrical Engineer - Power & Energy,"Raleigh, NC, US",https://www.indeed.com/viewjob?jk=d80482358bbe0c35,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22JMT%20Technology%20Group%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
AECOM,aecom.com,Senior Technical Lead - Microgrids,"Orlando, FL, US",https://www.indeed.com/viewjob?jk=061a9332b23c6e64,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22AECOM%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Atwell,atwell.com,Electrical Designer - Power & Energy,"Southfield, MI, US",https://www.indeed.com/viewjob?jk=f2590acc769938a5,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Atwell%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"NEI Electric Power Engineering, Inc.",neielectricpowerengineering.com,Electrical Engineer (Solar Engineering),"Denver, CO, US",https://www.indeed.com/viewjob?jk=ad1134d318edc7e6,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22NEI%20Electric%20Power%20Engineering%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Siemens,siemens.com,Project Engineer / SME,"Wendell, NC",https://www.glassdoor.com/job-listing/j?jl=1009967859397,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Siemens%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
Kleinfelder Inc,kleinfelder.com,Principal Structural Engineer,"Denver, CO",https://www.glassdoor.com/job-listing/j?jl=1009879106112,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Kleinfelder%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
"Westwood Professional Services, Inc.",westwoodprofessionalservices.com,Electrical Lead Engineer,"Plano, TX",https://www.glassdoor.com/job-listing/j?jl=1009855432652,https://www.google.com/search?q=site%3Alinkedin.com/in/%20%22Westwood%20Professional%20Services%22%20%28solar%20OR%20design%20OR%20engineering%29%20%28manager%20OR%20director%20OR%20lead%29,2026-01-12
